#PERIODRANGE		#RUNNUMBERSTART			#RUNNUMBEREND			#NTRIGS		#TRIGGERS

#--- monte carlo
MC					100000					110000					1			L1_MU10

#--- data
A					152166					153200					1			L1_MU10
B1-B2				153565					155160					1			L1_MU10 
C1					155228					155697					1			L1_MU10
C2					156682					156682					1			L1_MU10
D1-D6				158045					159224					1			L1_MU10
E1					160387					160479					1			L1_MU10
E2					160530					160530					1			L1_MU10
E3					160613					160879					1			L1_MU10
E4					160899					160980					2			EF_mu10			EF_mu10_MG
E5					161118					161379					2			EF_mu10			EF_mu10_MG
E6					161407					161520					2			EF_mu10			EF_mu10_MG
E7					161562					161948					2			EF_mu10			EF_mu10_MG
F1					162347					162577					2			EF_mu10			EF_mu10_MG
F2					162620					162882					2			EF_mu10			EF_mu10_MG
G1					165591					165632					2			EF_mu10			EF_mu10_MG
G2					165703					165732					2			EF_mu10			EF_mu10_MG
G3					165767					165815					2			EF_mu10			EF_mu10_MG
G4					165817					165818					2			EF_mu10			EF_mu10_MG
G5					165821					166143					2			EF_mu13			EF_mu13_MG
G6					166198					166383					2			EF_mu13			EF_mu13_MG
H1					166466					166850					2			EF_mu13			EF_mu13_MG
H2					166856					166964					2			EF_mu13			EF_mu13_MG
I1					167575					167680					2			EF_mu13_tight	EF_mu13_MG_tight
I2					167776					167844					2			EF_mu13_tight	EF_mu13_MG_tight
